t_int_ms,i_led_ma,v_out_inferred
0.5,-0.02835964926454545,-0.623115499999999
0.5,-0.025623605750909086,-0.44221100000000035
0.5,-0.00999915818363636,-0.5427135000000005
0.5,0.0020170669018181814,-0.6030150000000001
0.5,0.01975053202181818,-0.6834170000000004
0.5,0.014167709512727271,-0.5628140000000004
0.5,-0.02847857113181818,-0.6432160000000007
0.5,0.006518847974545453,-0.5025125000000008
0.5,0.0004998080690909091,-0.6633165000000005
0.5,0.01669726607181818,-0.6834169999999995
0.5,0.01190501450090909,-0.6030150000000001
0.5,0.018557914537272728,-0.06030150000000045
0.5,0.04160723097999999,0.44221100000000035
0.5,0.07404457731363637,1.2462310000000003
0.5,0.08731408684727271,2.7135674999999995
0.5,0.12750050484818182,8.829674542657987
0.5,0.18737243889,12.139222710665292
0.5,0.23936439219,16.076892335787072
0.5,0.29707767871727275,20.191472366437644
0.5,0.33673563630000003,27.738827617881288
0.5,0.40506406997000005,32.301308856275654
0.5,0.47695164435545456,37.52999729657714
0.5,0.5594808254509092,40.63210859731082
0.5,0.6180645001745454,48.78621959386
0.5,0.6847702752990911,55.015503542387414
0.5,0.758843870425455,61.06585107881189
0.5,0.8406368250254547,66.29957619190738
0.5,0.9130594016281816,72.47379999990845
0.5,0.9840332072836367,79.58465508074461
0.5,1.0574316814345457,86.359695095991
0.5,1.1357250293454544,90.97155965320802
0.5,1.9366884011300005,165.56161638911237
0.5,2.320694090909091,223.5886376193539
0.5,2.320694090909091,288.62503699602604
0.5,2.320694090909091,366.2786259379427
0.5,2.320694090909091,439.78948957596964
0.5,2.320694090909091,503.4969155826421
0.5,2.320694090909091,592.5178282546849
0.5,2.320694090909091,626.864005836243
0.5,2.320694090909091,718.3058864055588
5.0,0.019811308624545453,0.060301499999999564
5.0,0.01954130409,0.060301499999999564
5.0,-0.00490401035090909,-0.020100499999999855
5.0,0.01892827538636363,0.12060300000000002
5.0,0.018635612106363636,0.04020099999999971
5.0,0.020177210817272723,0.10050249999999927
5.0,0.02625761206727272,0.020100499999999855
5.0,0.0030549105363636346,-0.020100499999999855
5.0,0.005927893274545453,0.6030150000000001
5.0,0.010730085456363633,1.487437
5.0,0.03565170865454545,2.4723615000000003
5.0,0.036059931536363624,9.855167637956106
5.0,0.05841245500999999,20.429072023006597
5.0,0.07358833250999999,29.052226010095687
5.0,0.08258871512181817,60.853992272165904
5.0,0.13698706373545455,82.01393766775644
5.0,0.18266778895272728,138.280149731242
5.0,0.22278009092818182,176.28283960822498
5.0,0.2812292384872727,231.28953268866834
5.0,0.3377359833654545,282.38632471134
5.0,0.4129700717227272,335.0986112979128
5.0,0.4741473687809091,413.08208907746416
5.0,0.5441669854281819,484.0826376488653
5.0,0.6120406726954545,530.8346032459649
5.0,0.6929758110481818,588.6495981755941
5.0,0.7574763785909093,676.8305323358826
5.0,0.8421702738972728,735.469656781472
5.0,0.9126808543936363,802.6724422795194
5.0,0.9823837968000002,881.016508774421
5.0,1.0598385518509095,941.2948547566056
5.0,1.1370106207790909,1018.6158375413111
5.0,1.9299258254563643,1757.7525007493564
5.0,2.320694090909091,2549.7918372478434
5.0,2.320694090909091,3267.515969207653
5.0,2.320694090909091,4029.5067514248635
5.0,2.320694090909091,4699.509438815534
5.0,2.320694090909091,5459.261045790505
5.0,2.320694090909091,6329.433210329234
5.0,2.320694090909091,7042.412083545966
5.0,2.320694090909091,7715.791862694851
50.0,0.009747499923636363,0.1206030000000009
50.0,0.008434937273636362,0.10050250000000016
50.0,0.009766102022727272,0.28140699999999974
50.0,0.01717408647818182,0.24120600000000003
50.0,0.006722484312727271,0.44221100000000035
50.0,0.007087034289999999,0.8844219999999998
50.0,0.007622767434545454,1.7487435000000007
50.0,0.007950149759999999,3.417085
50.0,0.010174580729090908,16.907882840594933
50.0,0.013963378793636362,35.1091429868666
50.0,0.019219294079999998,49.98136642669047
50.0,0.02987424021272727,123.86782624371642
50.0,0.04157616657090908,201.13574117206136
50.0,0.06402853471,343.74273224691035
50.0,0.09387379365636364,641.6984222300517
50.0,0.13205911551636365,1000.9827476516261
50.0,0.1795839702427273,1467.2268924041339
50.0,0.23002014484272726,1855.372216715395
50.0,0.2854788131045455,2148.2805993781167
50.0,0.34455367095545447,2922.054640620374
50.0,0.4065593644381818,3333.5323941692473
50.0,0.4767620052745455,4171.35556389363
50.0,0.54542103735,4576.5087777295485
50.0,0.612337904270909,5222.050811969377
50.0,0.6854073515100001,6092.204232528248
50.0,0.7550508329827276,6563.887130161008
50.0,0.838792768609091,7352.736830897356
50.0,0.9078918554490908,8041.3251958744
50.0,0.9825909050427274,8685.909509545709
50.0,1.061284325996364,9351.671273468923
50.0,1.1354761120627272,10125.66063352313
50.0,1.9315561587381822,17560.003914326462
50.0,2.320694090909091,25125.624999996624
50.0,2.320694090909091,32833.31568983366
50.0,2.320694090909091,39203.64736612832
50.0,2.320694090909091,46691.250226487864
50.0,2.320694090909091,55040.09288826226
50.0,2.320694090909091,61814.87012043754
50.0,2.320694090909091,66171.93919968416
50.0,2.320694090909091,74238.39487729844
500.0,0.006882630478181818,2.371859
500.0,0.0077056180409090895,2.5326630000000003
500.0,0.007597806268181818,2.7537684999999996
500.0,0.008097248873636364,7.539124755136944
500.0,0.0078094097136363625,10.759583261539582
500.0,0.00834009946,18.37639057844463
500.0,0.009215055951818181,35.910077754206554
500.0,0.009641844386363636,73.2267043344737
500.0,0.01129735811272727,166.26962960335197
500.0,0.014116910067272724,245.92864977213696
500.0,0.019204383163636363,640.0233618759846
500.0,0.029876469540909088,977.2252333403155
500.0,0.04117433930272727,2772.0171950627177
500.0,0.06197112062272727,3311.758076653218
500.0,0.09373835283272727,6355.62867645925
500.0,0.13252983268000004,9697.088760707837
500.0,0.17813059445363635,12303.89207075085
500.0,0.22996722570818182,18316.11086618086
500.0,0.28460411243727274,23139.105931233626
500.0,0.3442789884863636,27189.350503978265
500.0,0.40619945584909095,33286.462944405735
500.0,0.47595049327000005,41318.14544596995
500.0,0.5444477711400002,44077.44046704953
500.0,0.6123787996518181,54368.344245579385
500.0,0.6864197223290909,58798.69269533827
500.0,0.7549294625090911,62510.749767161935
500.0,0.8387331614900001,70878.75306026157
500.0,0.9074899916345454,78826.20688524218
500.0,0.9822489772645457,84386.13193591243
500.0,1.0616541021036368,91989.61717903492
500.0,1.13490478276,102059.49934986907
500.0,1.9316106128200006,163878.26287622424
500.0,2.320694090909091,218063.6187946008
500.0,2.320694090909091,256559.33277647095
500.0,2.320694090909091,297604.48525265517
500.0,2.320694090909091,430763.0554360424
500.0,2.320694090909091,506845.49355152226
500.0,2.320694090909091,376192.53253643244
500.0,2.320694090909091,436492.00477741257
500.0,2.320694090909091,539011.0346399428
5000.0,0.009663187462727272,48.86496411515234
5000.0,0.009076325955454545,51.235326562174706
5000.0,0.008982730718181817,60.48482048661918
5000.0,0.00874199982090909,75.83055018788338
5000.0,0.009428377076363638,114.7218318622886
5000.0,0.009230039960909089,188.84450924473273
5000.0,0.009663516379999999,352.2047480794778
5000.0,0.010893301516363637,687.037246026831
5000.0,0.012541140506363634,1383.6473179354423
5000.0,0.014961021428181814,2846.591340184464
5000.0,0.01975637944,5609.351711627383
5000.0,0.028510183736363635,13587.367665663149
5000.0,0.04129099529545454,20100.50000000275
5000.0,0.062018996359090896,43078.92377721437
5000.0,0.09407001108272726,60352.85615549407
5000.0,0.1309440859618182,88071.01690270733
5000.0,0.17826691239,121673.92847220563
5000.0,0.22901987087,160570.6178819778
5000.0,0.2846481873518182,181215.1462212506
5000.0,0.3429915331881819,270139.98566221254
5000.0,0.40492837332181825,285665.5204209576
5000.0,0.47452386941909097,375668.18119529675
5000.0,0.542355126358182,366389.1509639441
5000.0,0.6115139665027272,340841.47451033315
5000.0,0.6848724589318184,567839.1250056134
5000.0,0.7532840355790912,472043.8832560734
5000.0,0.8378385065081818,508002.32348075474
